NOUN	WIKICONLL	REPUBBLICA	ITWAC
condizione	0	0	3
concordato	0	0	1
mix	0	0	1
giro	0	0	2
flop	0	0	1
uragano	0	0	3
repubblicano	0	0	1
spazzatura	0	0	1
colonna	0	0	1
professionismo	0	0	2
sovietismo	0	0	1
cocktail	0	0	1
com	0	0	1
rito	0	0	1
trappola	0	0	1
avviamento	0	0	1
meditazione	0	0	1
zombi	0	0	1
sorpresa	0	0	1
connessione	0	0	1
americani	0	0	1
apostoli	0	0	1
embargo	0	0	1
acceleratore	0	0	1
down	0	0	1
cocaina	0	0	1
game	0	0	1
sismi	0	0	2
esami	0	0	3
ratifica	0	0	1
operazioni	0	0	2
ambientazione	0	0	1
varicella	0	0	3
esodo	0	0	2
rumori	0	0	1
band	0	0	1
implicazione	0	0	1
sinapsi	0	0	3
doctor	0	0	1
categoria	0	0	1
mattinata	0	0	1
rilascio	0	0	1
queen	0	0	1
video	0	0	3
woodstock	0	0	1
pareggio	0	0	1
secrezione	0	0	1
cartoon	0	0	1
fotografia	0	0	1
omicidi	0	0	1
arresto	0	0	1
rockers	0	0	1
conference	0	0	2
scandalo	0	0	1
effetto	0	0	1
present	0	0	1
religione	0	0	1
spesa	0	0	1
tirannia	0	0	1
manierismo	0	0	2
ascolto	0	0	1
ipo	0	0	1
latina	0	0	1
prescrizione	0	0	1
pensione	0	0	1
visioni	0	0	1
narrazione	0	0	4
elusione	0	0	1
copertura	0	0	1
libertà	0	0	1
clonazione	0	0	1
inquinamento	0	0	1
hop	0	0	1
mi	0	0	1
edit	0	0	2
bossa	0	0	1
reattore	0	0	1
estrazione	0	0	1
accoppiamento	0	0	1
femministi	0	0	1
legislazione	0	0	1
luglio	0	0	1
premiazione	0	0	1
adeguamento	0	0	2
civiltà	0	0	1
svuotamento	0	0	1
triennio	0	0	2
compressione	0	0	3
ombra	0	0	2
costituzione	0	0	3
horror	0	0	1
sceneggiata	0	0	1
capitale	0	0	1
tragedie	0	0	1
teenager	0	0	1
sesso	0	0	1
azionista	0	0	1
sfruttamento	0	0	1
immigrazione	0	0	1
decentramento	0	0	1
harry	0	0	2
noviziato	0	0	1
avventure	0	0	1
blackout	0	0	1
tecnologia	0	0	1
exposition	0	0	2
operating	0	0	1
ontologia	0	0	1
assemblea	0	0	1
fango	0	0	1
emerson	0	0	1
ddr	0	0	2
pasto	0	0	3
nord	0	0	1
depilazione	0	0	4
sterilizzazione	0	0	1
secessionista	0	0	1
corteo	0	0	1
virus	0	0	1
sconfitta	0	0	1
millennium	0	0	1
impero	0	0	1
doping	0	0	1
paesaggio	0	0	1
promozione	0	0	1
iscrizione	0	0	1
irradiazione	0	0	1
liceo	0	0	1
illuminista	0	0	1
astrazione	0	0	1
coordinazione	0	0	1
diluvio	0	0	1
dandy	0	0	1
cannibale	0	0	1
liberalismo	0	0	1
bombe	0	0	1
monopolio	0	0	1
cognitivismo	0	0	1
panettone	0	0	1
bombardamenti	0	0	1
proiezione	0	0	1
saga	0	0	1
flight	0	0	1
controriforma	0	0	1
associazione	0	0	1
maturazione	0	0	1
radioterapia	0	0	1
arrivo	0	0	1
modifica	0	0	1
country	0	0	1
crimine	0	0	1
tassi	0	0	1
saggio	0	0	1
ms	0	0	2
delirio	0	0	1
giubileo	0	0	1
concetti	0	0	1
percorso	0	0	1
epurazione	0	0	1
offerta	0	0	2
incarico	0	0	1
aggiornamento	0	0	1
camerata	0	0	2
patriarcato	0	0	1
uomini	0	0	1
privatizzazioni	0	0	1
diaspora	0	0	1
negoziazione	0	0	1
metallari	0	0	1
cessione	0	0	1
monsone	0	0	2
rage	0	0	1
assistenzialismo	0	0	1
singolarità	0	0	2
editing	0	0	1
sales	0	0	1
papocchio	0	0	1
disinfezione	0	0	3
cazzate	0	0	1
indigestione	0	0	1
traumi	0	0	1
fondatore	0	0	1
reality	0	0	1
